key_resp.corr,key_resp.rt,,,seqRT,ranRT,,
1,0.5707161,,,0.5707161,0.4499981,,
0,2.3782877,,,2.3782877,0.3360318,,
1,0.5049519,,,0.5049519,0.8781833,,
0,0.1138071,,,0.1138071,0.3811039,,
0,1.0932444,,,1.0932444,1.0746044,,
0,0.4743016,,,0.4743016,1.939001,,
1,0.3220616,,,0.3220616,0.9443399,,
0,0.3664047,,,0.3664047,0.8603766,,
0,0.8224097,,,0.8224097,0.8853275,,
0,0.3859206,,,0.3859206,1.1642827,,
1,0.4997273,,,0.4997273,0.5247697,,
0,0.4847766,,,0.4847766,1.2067098,,
1,0.3131176,,,0.3131176,0.9848896,,
0,0.3554601,,,0.3554601,1.1526568,,
0,0.3788208,,,0.3788208,3.5631241,,
0,0.9828316,,,0.9828316,0.9057964,,
0,0.4832465,,,0.4832465,1.4792496,,
0,5.6214935,,,5.6214935,1.2911514,,
0,2.5908121,,,2.5908121,1.2158854,,
0,1.8968748,,,1.8968748,1.173621,,
0,1.6201658,,,1.6201658,1.0741842,,
0,1.1200658,,,1.1200658,0.8137048,,
0,0.7667029,,,0.7667029,1.5894576,,
0,0.3681913,,,0.3681913,1.055385,,
0,0.8241952,,,0.8241952,0.9731361,,
0,0.3885487,,,0.3885487,0.9931646,,
1,0.3240661,,,0.3240661,1.0991398,,
0,0.3848563,,,0.3848563,0.9873393,,
1,0.4987671,,,0.4987671,0.9485073,,
0,0.3869365,,,0.3869365,0.8572398,,
0,0.4527442,,,0.4527442,1.473659,,
0,0.4705195,,,0.4705195,0.9325403,,
0,0.3701686,,,0.3701686,0.9227718,,
0,0.3578363,,,0.3578363,1.0975179,,
1,0.3197537,,,0.3197537,0.8284796,,
0,0.4191172,,,0.4191172,0.9853534,,
0,0.3598195,,,0.3598195,2.3698765,,
0,0.4221797,,,0.4221797,1.3593954,,
0,0.5346101,,,0.5346101,1.7959551,,
0,0.5142309,,,0.5142309,0.9624873,,
1,0.4905403,,,0.4905403,1.5044896,,
0,0.5296681,,,0.5296681,2.1153529,,
0,0.3954446,,,0.3954446,1.34856,,
0,0.3702082,,,0.3702082,1.3196478,,
0,0.7615156,,,0.7615156,2.0959623,,
0,0.4595188,,,0.4595188,2.2834972,,
0,3.0177585,,,3.0177585,1.0559223,,
0,0.4499981,,,,2.4885968,,
0,0.3360318,,,,1.1836202,,
0,0.8781833,,,,,,
1,0.3811039,,,0.799306294,1.243388712,,#NAME?
1,1.0746044,,,,,,
1,1.939001,,,,,,
1,0.9443399,,,,,,
1,0.8603766,,,,,,
0,0.8853275,,,,,,
0,1.1642827,,,,,,
0,0.5247697,,,,,,
0,1.2067098,,,,,,
0,0.9848896,,,,,,
0,1.1526568,,,,,,
1,3.5631241,,,,,,
0,0.9057964,,,,,,
1,1.4792496,,,,,,
1,1.2911514,,,,,,
0,1.2158854,,,,,,
1,1.173621,,,,,,
0,1.0741842,,,,,,
1,0.8137048,,,,,,
0,1.5894576,,,,,,
0,1.055385,,,,,,
0,0.9731361,,,,,,
0,0.9931646,,,,,,
0,1.0991398,,,,,,
0,0.9873393,,,,,,
0,0.9485073,,,,,,
0,0.8572398,,,,,,
0,1.473659,,,,,,
0,0.9325403,,,,,,
0,0.9227718,,,,,,
1,1.0975179,,,,,,
0,0.8284796,,,,,,
0,0.9853534,,,,,,
0,2.3698765,,,,,,
0,1.3593954,,,,,,
0,1.7959551,,,,,,
0,0.9624873,,,,,,
1,1.5044896,,,,,,
0,2.1153529,,,,,,
0,1.34856,,,,,,
0,1.3196478,,,,,,
0,2.0959623,,,,,,
0,2.2834972,,,,,,
0,1.0559223,,,,,,
0,2.4885968,,,,,,
0,1.1836202,,,,,,
